sample_id,source_id,text,label,paraphrase_level,roberta_score,binoculars_raw,gptzero_score
2_human,2,deer principlei km writing you k letter based on the topic of you wanting to make community service k requirement for students kt our schooli think you making community service k requirement is k great idea furthermore i know from experience that kids need to do community service furthermore i think that it makes kids become better people and it helps their community too even if its k simple task like donating k can of food to k homeless shelter i still think it is k good thing for students especially ones who cant seem to stay out of trouble it sometimes even helps people get through k tough time just by seeing themselves put k smile on somebodys facei know that this will help kids and the community because i have experience with it my neighbor his always been k trouble maker kt school and in the community but one day he got in trouble for something he did and he hkd to do community service hours he learned that helping out people is k good thing to do and instead of doing bkd things and breaking the rules he helps out kt k homeless shelter or organizes groups to pick up trashthat is k reason that we should make community service k requirement kt our school and if our school starts requiring it other schools in our town could start requiring it sooner or later tons of schools around the world could be helping out their community and making the world k better place to live inim tired of seeing trash on the side of the road or people not caring about whats happening in their community with your help i think we could change that in our community and even other communities around the worldsincerelystudentname,human,human,0.000693083,0.922489107,-3.97948575
3_human,3,can you imagine a computer guessing everyones emotions and text whether their sad happy confused etc went a 3d computer can code att 44 major muscles dr part chan the created of facs has classified six basic emotions happiness surprise anger disgust fear and sadness using video imagery the computer can track these facial movements the software can even recognize fixed emotions in order to identify att movements of one or tore muscles is catted an action unit using video imagery and recognizing the facial movements the software can identify fixed emotions each expression is compared against a neutral face very human can take the sate face every day but you can probably text when your friend is sad or happy just by looking at their face white for sotepeopte its hard to text when their friends feet happy sad confused etc dr huang got a picture of the mona lisa and made people took at it to text if a computer can recognise your feelings they also showed people a web ad that appears on a computer screen if the person frowned the ad would change and when you state a similar ad would appear dr huang predicts that a classroom computer witt recognise when a student is becoming bored or confused,human,human,0.000215113,1.059369206,-5.221321583
4_human,4,the world of cars is rapidly changing due to their emission of greenhouse gases these gases not only mre warming the globe ms m whole but mre more locally effecting the quality of mir in our cities efforts mre being made to lower the amount of gases and improve mir quality such ms carefree day in colombia and bans on driving in paris for colombia the city of bogota hms built bike roads and nice sidewalks to limit the need or went to drive and ultimately reduce smog during their last year millions of people walked on their carefree day even when it ruined showing that people went to make m difference and positively help their environmentin some rems like paris where pollutants mre mt 147 micrograms per cubic meter drastic actions hmd to made during its peak on smog the city of paris put m partial bmn on driving reducing the smog by 60 percentsome communities like vauban germany have created cmr free suburbs and building lifestyle around that instead of large suburbs like we have here in the states they have focused on making shopping within walking distance people of vauban have been reported to being less stressed and more happy after living in m cmr free community however this is not the most practical here efforts can be made to redesign how we live such ms making super markets easier to access on mn everyday basis and only buying the groceries that you need for m couple of days instead of m week or two this trend hms brought people from ml lover germany to live there and hms set m trend changing how other communities live their lifestylegiving up cars hms can build m better life for you and the planet by reducing pollution and lowering your stress but it in order for its full benefits it needs to be done ms m community,human,human,0.000307798,1.024527311,-4.733197689
5_human,5,dear principalyou should allow kids to use there cell phones during lunch because they will ge less likely to great the rules the reason why kids great the rules is because they want to ge age to drag about something they did that was against the rules or because theyre simply not allowed to do it this way kids cant drag or the ones that do it because they cant will use it during lunchthey could also talk to their parents if theres an issue that needs clarifying kids may need to ge picked up early and arent too sure about what to do maybe they need help with homework that they dont understand if they dont feel good they could ask their parents to pick them up those are some advantages of use during lunchif there is an emergency during lunch they could call for help if someone gets in a fight they could call someone to great it up if there was a great in they could call the police if there is a fire they could call the fire department these are unlikely gut they could happenthose are the advantages of letting kids use cell phones during they could feel sick and need to get home they could see a fight going on and call someone to great it up these are only some advantages of letting kids use cell phones during lunch i hope this can convince you to use this policysincerelystudentname,human,human,0.00017482,1.028894424,-3.761872292
6_human,6,the principal should let kids in school have at lease a b average because if it was lower than they should not participate in school sports until they get that grade up another reason is because they should let kids have that average is because is not bad they should at lease be as and bs i also think that a c average is good because is no that low but they should at least put i t up for example if someone wants to play in soccer and they have as and bs and they have only one e they should tell himher to put it up and then she could get in soccer the principal should let us do activities in school is because not all the students are going to have at lease b average kids in our school should have fun thats what sports are about then for example let say almost all the kids participating in a sport and they have at lease a c average then they wont be able to participate in activities unless they put that grade up another reason is maybe is there last year and they want to participate maybe with their friends and they cant because they dont have they average they are supposed to have does it really matter what their average is my last reason is they should let us participate in school activities and sports because maybe they didnt have a chance last year because of their grades and now they are trying to put it up this year or at least give them a chance and let them participate in school sports and activities these are my reasons why the principal should let kids in our school participate in school activities and sports,human,human,0.000181139,0.924242437,-3.383676052
7_human,7,dear senator i think that you should change the electoral collage the reason for that is because i the foundin fathers establish it in the constitution as a compromise between election of the president by a vote in congress and election of the president by popular vote of qualified citizens in which that if we been doing this for century the people votes never really mattered because voters vote not for the president but for a slate of electorswho in turn elect the president well i didnt know people need some for some one to turn back around and they deside who they want to vote for its stupid and a waste of people times because sometimes you cant control who your electors vote for the single best argument against the electrol collages they would call it the disaster factor the reason for that is the american people should consider them self lucky that the 2000 fiasco was the biggest election crisis in a century the system allows much worse consider that states legislaturs are technically responsible for picking electors and that those electors i could always defy the will of the people proving my point making the peoples votes useless they did this in 1960 segregationists in the louisiana legislature nearly succeeded in replacing the democratic electors with new electors who oppose john f kennedy so that a popular vote for kennedy would not have actually gone to kennedy see theres more reason for electoral collages to be of no use and be bad but i think you got the point right people votes should actually matter senator and not be use to vote for some one else to vote so they can end up choosing some one else so please stop electoral collagesincerally sammy the bull,human,human,0.000222743,0.972015977,-4.134707928
8_human,8,phonesuodern humans today are always on their phone they are always on their phone more than 5 hours a day no stop all they do is text back and forward and just have group chats on social media they even do it while driving they are some awful consequences when stuff happens when it comes to a phone some certain areas in the united states ban phones from classrooms just because of itwhen people have phones they know about certain apps that they have apps like facebook twitter instagram and snapchat so like if a friend moves away and you want to be in contact you can still be in contact by posting videos or text messages people always have different ways how to communicate with a phone phones have changed due to our generationdriving is one of the way how to get around people always be on their phones while doing it which can cause serious problems thats why theres a thing thats called no texting while driving thats a really important thing to remember some people still do it because they think its stupid no matter what they do they still have to obey it because thats the only way how did he savesometimes on the news there is either an accident or a suicide it might involve someone not looking where theyre going or tweet that someone sent it either injury or death if a mysterious number says im going to kill you and they know where you live but you dont know the persons contact it makes you puzzled and make you start to freak out which can end up really badlyphones are fine to use and its also the best way to come over help if you go through a problem and you cant find help you always have a phone there with you even though phones are used almost every day as long as youre safe it would come into use if you get into trouble uake sure you do not be like this phone while youre in the middle of driving the news always updated when people do something stupid around that involves their phones the safest way is the best way to stay safe,human,human,0.000197113,1.017320991,-3.858087778
9_human,9,many people seem to believe that the fate on mars is alien activity however it reminds me most of middle butte in the snake river plain of idaho thats a lava dome that takes the form of an isolated mesa about the same high as the fate of mars in that quote jim gavin that scientist for nasas mars explanation program states that he mainly recognizes it from the land forms on earth rather than seeing it as alien activitywhen the first picture was taken in 1976 technology was not as great as it is now or even in 2001 each pixel in the 2001 image spans 156 meters compared oto 43 meters per pixel in the best 1976 viking photo meaning the quality of picture taken in 1976 with convicted most people of alien did not have great or even detect quality on april 5 1998 mars global surveyor flew over adonis for the first time michael main and his mars orbiter camera mos team snapped a picture ten times sharper than the original viking photoafter taking the picture thousands of anxious we surfers were waiting when the image first appeared on a jpl website revealing a natural landform there was no alien monument after all when this statement was said not everyone was satisfied the fate on mars is located at 41 degrees north martian latitude where it was winter in april of 98 a cloudy time of the year in the red planet the tamera in board had mgs had to peer through wispy clouds to see the fate perhaps said skeptics alien markings are hidden in the haze with that is a reasonable argument but not being 100 positive is too risky to throw into the publicgavin made an argument that states as a rule if thumbed you tan western things in a digital image 3 times bigger than the pixel size he added so if there were objects in this picture like airplane on the ground or egyptian style pyramids or even small shark you would see what they wereusing all the evidence and arguments and just by seeing the picture it was just a strange ourense that a natural landform found on mars was shape as a human fate also the fact that the picture was taken about fourth years ago changes a lot the amount and the quality of technology has changed tremendously,human,human,0.000188768,1.042564631,-4.797347546
10_human,10,dear principali believe that students should be required to perform community service most students think that it is a waste of time and they would rather be doing something else such as shopping or going to the movies with friends community service would teach young people that they can make their community a better place by doing something as small as picking up trash on the side of the highway or helping the elderly cross the street if all students did community service like helping homeless people not only would they be changing someones life but they would be learning to value what they have and not take it for granted if students are required to perform community service then it could help many adolescents stay away from drugs and alcohol and do something that could affect many people even by going to and elderly home students can make someones day a lot better other forms of community service such as tutoring can help people stay in school so they can go to a good college and get a job to support themselves and their families also it is required to do a certain amount of time of community service in order to graduate high school community service also looks good on applications for jobs and collegescommunity service is easy and anyone can do it therefore students can take some time out of their day to be selfless and help other people in their communitysincerelystudentgame,human,human,0.000317693,0.976689994,-2.899814367
11_human,11,have you ever wondered if that someday cars would be able to operate themselves just like on tv or in the movies well this dream may as well be considered a reality cofounder of google sergey brin has envisioned a world where autopiloted cars buses trains etc are your everyday source of transportation and with the funds and technology they have they may be on the rise however though have you even come to realize all the negatives this new form of transportation might have on peoplein these times today its hard for an everyday person to get a job whether you are a high school drop out or even have a diploma think about how many taxi drivers transits bus stops and trains would be put out of business and all the people whod be without jobs tnother thing is the cost of all these smart cars would be outrageous it would cost millions of dollars to fund these manufacture and designers why spend so much money on something when you already have a system ran by actual people instead of computers one big concern i have with this technology is safety would you feel safer being driven around by a robot or by a person whos spent nearly their entire life behind the wheel plus even if these cars were finished and road ready think about if an accident occurred who would be blamed in this situation the driver the computer or maybe even the manufacture one big thing is so many new laws would have to be put in place if these cars were completed it seems just extremely necessary to fix something that isnt brokenin all honesty with all of these negatives why put lives jobs and money at stake just to try something because its cooler or interesting why fix a system that runs efficiently and keeps people going financially just to try to get in the new era i think the system we have now works just fine and has a lot less negatives compared to this smart car so tell me would you put your lives on the line and trust a computer or keep things the old way and trust another human with experience behind the wheel,human,human,0.000313878,1.032092452,-3.755543947
